epoch,step,train_acc,train_f1,train_loss,train_prec,train_rec,val_acc,val_f1,val_loss,val_prec,val_rec
0,49,0.90625,0.8965517282485962,0.18046993017196655,0.9629629850387573,0.8387096524238586,,,,,
0,72,,,,,,0.800000011920929,0.7727272510528564,0.5385028123855591,0.8947368860244751,0.6800000071525574
1,99,0.90625,0.8928571343421936,0.3178127706050873,0.9259259104728699,0.8620689511299133,,,,,
1,145,,,,,,0.5600000023841858,0.6666667461395264,11.02241325378418,0.5365853905677795,0.8799999952316284
2,149,0.65625,0.44999998807907104,0.9077328443527222,1.0,0.29032257199287415,,,,,
2,199,0.859375,0.7692307829856873,0.39947378635406494,0.75,0.7894737124443054,,,,,
2,218,,,,,,0.800000011920929,0.7916667461395264,0.4335709810256958,0.8260869383811951,0.7599999904632568
3,249,0.875,0.8571428656578064,0.3319206237792969,0.9599999785423279,0.774193525314331,,,,,
3,291,,,,,,0.7799999713897705,0.8196721076965332,0.7183014154434204,0.6944444179534912,1.0
4,299,0.859375,0.8421052694320679,0.30265378952026367,0.9599999785423279,0.75,,,,,
4,349,0.90625,0.8888888955116272,0.21949082612991333,0.800000011920929,1.0,,,,,
4,364,,,,,,0.8999999761581421,0.8936170339584351,0.4244767725467682,0.9545454382896423,0.8399999737739563
5,399,0.921875,0.9090909361839294,0.21859553456306458,0.8928571343421936,0.9259259104728699,,,,,
5,437,,,,,,0.6600000262260437,0.6382978558540344,1.5931564569473267,0.6818181872367859,0.6000000238418579
6,449,0.828125,0.8253968358039856,0.3900473713874817,1.0,0.7027027010917664,,,,,
6,499,0.9375,0.9333333373069763,0.21951362490653992,0.9333333373069763,0.9333333373069763,,,,,
6,510,,,,,,0.9399999976158142,0.9387755393981934,0.2550097107887268,0.9583332538604736,0.9200000166893005
7,549,1.0,1.0,0.06091757118701935,1.0,1.0,,,,,
7,583,,,,,,0.6600000262260437,0.746268630027771,1.789238452911377,0.5952380895614624,1.0
8,599,0.921875,0.8837209343910217,0.2275545299053192,1.0,0.7916666865348816,,,,,
8,649,0.953125,0.9508196711540222,0.13510705530643463,1.0,0.90625,,,,,
8,656,,,,,,0.8399999737739563,0.8518518805503845,0.7622582912445068,0.7931034564971924,0.9200000166893005
9,699,0.9375,0.9285714030265808,0.13389205932617188,0.9629629850387573,0.8965517282485962,,,,,
9,729,,,,,,0.9200000166893005,0.9230769276618958,0.272329181432724,0.888888955116272,0.9599999785423279
